# This is a collection of well known CRCs, copied from
# https://reveng.sourceforge.io/crc-catalogue/all.htm
# Credits: Greg Cook, who did a really great job in gathering the CRC catalogue!
# Latest update of this file: July 2, 2022
# Syntax: description;crc:<width>,<poly>,<init>,<refin>,<refout>,<xorout>
# See also jacksum --help crc:

CRC-3/GSM;crc:3,3,0,false,false,7
CRC-3/ROHC;crc:3,3,7,true,true,0
CRC-4/G-704;crc:4,3,0,true,true,0
CRC-4/INTERLAKEN;crc:4,3,f,false,false,f
CRC-5/EPC-C1G2;crc:5,9,9,false,false,0
CRC-5/G-704;crc:5,15,0,true,true,0
CRC-5/USB;crc:5,5,1f,true,true,1f
CRC-6/CDMA2000-A;crc:6,27,3f,false,false,0
CRC-6/CDMA2000-B;crc:6,7,3f,false,false,0
CRC-6/DARC;crc:6,19,0,true,true,0
CRC-6/G-704;crc:6,3,0,true,true,0
CRC-6/GSM;crc:6,2f,0,false,false,3f
CRC-7/MMC;crc:7,9,0,false,false,0
CRC-7/ROHC;crc:7,4f,7f,true,true,0
CRC-7/UMTS;crc:7,45,0,false,false,0
CRC-8/AUTOSAR;crc:8,2f,ff,false,false,ff
CRC-8/BLUETOOTH;crc:8,a7,0,true,true,0
CRC-8/CDMA2000;crc:8,9b,ff,false,false,0
CRC-8/DARC;crc:8,39,0,true,true,0
CRC-8/DVB-S2;crc:8,d5,0,false,false,0
CRC-8/GSM-A;crc:8,1d,0,false,false,0
CRC-8/GSM-B;crc:8,49,0,false,false,ff
CRC-8/HITAG;crc:8,1d,ff,false,false,0
CRC-8/I-432-1;crc:8,7,0,false,false,55
CRC-8/I-CODE;crc:8,1d,fd,false,false,0
CRC-8/LTE;crc:8,9b,0,false,false,0
CRC-8/MAXIM-DOW;crc:8,31,0,true,true,0
CRC-8/MIFARE-MAD;crc:8,1d,c7,false,false,0
CRC-8/NRSC-5;crc:8,31,ff,false,false,0
CRC-8/OPENSAFETY;crc:8,2f,0,false,false,0
CRC-8/ROHC;crc:8,7,ff,true,true,0
CRC-8/SAE-J1850;crc:8,1d,ff,false,false,ff
CRC-8/SMBUS;crc:8,7,0,false,false,0
CRC-8/TECH-3250;crc:8,1d,ff,true,true,0
CRC-8/WCDMA;crc:8,9b,0,true,true,0
CRC-10/ATM;crc:10,233,0,false,false,0
CRC-10/CDMA2000;crc:10,3d9,3ff,false,false,0
CRC-10/GSM;crc:10,175,0,false,false,3ff
CRC-11/FLEXRAY;crc:11,385,1a,false,false,0
CRC-11/UMTS;crc:11,307,0,false,false,0
CRC-12/CDMA2000;crc:12,f13,fff,false,false,0
CRC-12/DECT;crc:12,80f,0,false,false,0
